045C;kakoacute;CYRILLIC SMALL LETTER KJE
045E;ubreve;CYRILLIC SMALL LETTER SHORT U
045F;dsche;CYRILLIC SMALL LETTER DZHE
0462;Jat;CYRILLIC CAPITAL LETTER YAT
0463;jat;CYRILLIC SMALL LETTER YAT
0472;Fita;CYRILLIC CAPITAL LETTER FITA
0473;fita;CYRILLIC SMALL LETTER FITA
0474;Jschiza;CYRILLIC CAPITAL LETTER IZHITSA
0475;jschiza;CYRILLIC SMALL LETTER IZHITSA
2013;endash;EN DASH
2014;emdash;EM DASH
2018;quoteleft;LEFT SINGLE QUOTATION MARK
2019;quoteright;RIGHT SINGLE QUOTATION MARK
201C;quotedblleft;LEFT DOUBLE QUOTATION MARK
201D;quotedblright;RIGHT DOUBLE QUOTATION MARK
201E;quotedblbase;DOUBLE LOW-9 QUOTATION MARK
2022;bullet;BULLET
2026;ellipsis;HORIZONTAL ELLIPSIS
2116;nosign;NUMERO SIGN
;Asacute;CYRILLIC CAPITAL LETTER A WITH ACUTE
;Eacute;CYRILLIC CAPITAL LETTER E WITH ACUTE
;Ischeacute;CYRILLIC CAPITAL LETTER I WITH ACUTE
;Jaacute;CYRILLIC CAPITAL LETTER YA WITH ACUTE
;Jehstacute;CYRILLIC CAPITAL LETTER IE WITH ACUTE
;Jeruiacute;CYRILLIC CAPITAL LETTER YERU WITH ACUTE
;Juacute;CYRILLIC CAPITAL LETTER YU WITH ACUTE
;Onacute;CYRILLIC CAPITAL LETTER O WITH ACUTE
;Schiwetebulg;CYRILLIC CAPITAL LETTER ZHE BULGARIAN
;Uacute;CYRILLIC CAPITAL LETTER U WITH ACUTE
;Yeacute;CYRILLIC CAPITAL LETTER UKRAINIAN IE WITH ACUTE
;asacute;CYRILLIC SMALL LETTER A WITH ACUTE
;eacute;CYRILLIC SMALL LETTER E WITH ACUTE
;fertserb;CYRILLIC SMALL LETTER EF VARIANT;italic only?
;ischeacute;CYRILLIC SMALL LETTER I WITH ACUTE
;jaacute;CYRILLIC SMALL LETTER YA WITH ACUTE
;jehstacute;CYRILLIC SMALL LETTER IE WITH ACUTE
;jeruiacute;CYRILLIC SMALL LETTER YERU WITH ACUTE
;juacute;CYRILLIC SMALL LETTER YU WITH ACUTE
;muisletteserb;CYRILLIC SMALL LETTER EM VARIANT;italic only?
;onacute;CYRILLIC SMALL LETTER O WITH ACUTE
;schiwetebulg;CYRILLIC SMALL LETTER ZHE BULGARIAN
;schiweteserb;CYRILLIC SMALL LETTER ZHE VARIANT;italic only?
;uacute;CYRILLIC SMALL LETTER U WITH ACUTE
;wjediserb;CYRILLIC SMALL LETTER VE VARIANT;italic only?
;yeacute;CYRILLIC SMALL LETTER UKRAINIAN IE WITH ACUTE
;zuiserb;CYRILLIC SMALL LETTER TSE VARIANT;italic only?
F6C4;glagolserb;CYRILLIC SMALL LETTER GHE VARIANT;italic only?
F6C5;bukiserb;CYRILLIC SMALL LETTER BE VARIANT
F6C6;dobroserb;CYRILLIC SMALL LETTER DE VARIANT
F6C7;pakoyserb;CYRILLIC SMALL LETTER PE VARIANT;italic only?
F6C8;twerdoserb;CYRILLIC SMALL LETTER TE VARIANT;italic only?
